Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
CREG1	chr1	24917002	chr1	25080293	25080794	0.779	ZNF776 (0.96, - [+,-]), KLF15 (0.78, + [+,+]), SALL2 (0.76, + [+,+]), ZNF571 (0.73, - [+,-]), 
MPZL1	chr1	25080244	chr1	25080293	25080794	0.992	ZNF776 (0.96, - [+,-]), KLF15 (0.78, + [+,+]), SALL2 (0.76, + [+,+]), ZNF571 (0.73, - [+,-]), 
RCSD1	chr1	24988120	chr1	25080293	25080794	0.8645	ZNF776 (0.96, - [+,-]), KLF15 (0.78, + [+,+]), SALL2 (0.76, + [+,+]), ZNF571 (0.73, - [+,-]), 
MPZL1	chr1	25080244	chr1	25159914	25160415	0.9505	ZNF384 (0.90, + [+,+]), 
XPR1	chr1	37835852	chr1	38051452	38051953	0.856	BCL11A (1.00, - [+,-]), ZFP28 (0.99, + [+,+]), ZNF169 (0.98, - [+,-]), ZNF613 (0.76, - [+,-]), 
BTG2	chr1	60813764	chr1	60776009	60776510	0.738	ZNF557 (1.00, - [-,+]), KLF11 (1.00, - [-,+]), ZNF823 (0.93, - [-,+]), ZNF484 (0.89, - [-,+]), ZNF169 (0.88, + [-,-]), 
BATF3	chr1	70186982	chr1	70186553	70187054	0.877	RREB1 (1.00, - [+,-]), KLF7 (0.90, - [+,-]), ZFP64 (0.89, - [+,-]), SP7 (0.84, + [+,+]), KLF1 (0.71, + [+,+]), 
MEF2D	chr1	94482128	chr1	94478017	94478518	0.819	ZBTB17 (1.00, + [+,+]), ZNF770 (1.00, - [+,-]), ZNF444 (0.99, + [+,+]), SALL2 (0.99, + [+,+]), ZNF304 (0.96, + [+,+]), PRDM9 (0.95, + [+,+]), BCL11A (0.93, + [+,+]), ZNF180 (0.93, + [+,+]), MAZ (0.90, + [+,+]), KLF2 (0.88, + [+,+]), ZNF394 (0.81, + [+,+]), ZNF341 (0.81, + [+,+]), SP7 (0.74, + [+,+]), 
TMIGD3	chr1	112627497	chr1	112453753	112454254	0.8495	KLF10 (0.76, - [+,-]), ZNF180 (0.75, + [+,+]), 
LOC695041	chr1	116036014	chr1	116036195	116036696	0.9505	ZNF169 (1.00, - [+,-]), ETS2 (1.00, + [+,+]), CTCFL (1.00, + [+,+]), ZNF557 (1.00, + [+,+]), ZNF596 (1.00, + [+,+]), ZNF527 (0.98, + [+,+]), VEZF1 (0.85, - [+,-]), ZBTB7A (0.83, - [+,-]), PRDM9 (0.72, + [+,+]), 
VAV3	chr1	116345723	chr1	116374039	116374540	0.8955	ZNF557 (0.75, - [-,+]), RBAK (0.72, - [-,+]), 
VAV3	chr1	116345723	chr1	116429686	116430187	0.718	ZNF613 (0.98, + [-,-]), ZNF384 (0.91, - [-,+]), 
PTBP2	chr1	127429746	chr1	127311728	127312229	0.7595	KLF10 (1.00, + [+,+]), RREB1 (0.99, - [+,-]), ZNF22 (0.92, + [+,+]), ZBTB17 (0.79, + [+,+]), 
TUT4	chr1	171893991	chr1	171790931	171791432	0.701	ZSCAN30 (1.00, - [+,-]), ZNF846 (1.00, + [+,+]), ZNF467 (1.00, + [+,+]), ZNF444 (0.98, + [+,+]), 
EPS15	chr1	172950963	chr1	172999234	172999735	0.9155	KLF5 (0.95, - [+,-]), ZNF766 (0.91, - [+,-]), MZF1 (0.86, + [+,+]), ZNF304 (0.74, - [+,-]), 
EIF2B3	chr1	179430379	chr1	179625815	179626316	0.704	MZF1 (0.74, + [-,-]), KLF9 (0.72, - [-,+]), RBAK (0.71, - [-,+]), 
SCMH1	chr1	183324298	chr1	183323970	183324471	0.999	KLF1 (0.84, + [+,+]), SP7 (0.74, + [+,+]), ZNF467 (0.74, + [+,+]), 
WASF2	chr1	197239320	chr1	197236780	197237281	0.721	ZNF169 (1.00, + [-,-]), ZNF768 (0.99, - [-,+]), ZNF548 (0.98, + [-,-]), 
CLSTN1	chr1	214566712	chr1	214069628	214070129	0.7135	ZNF205 (1.00, + [-,-]), ZNF354C (1.00, + [-,-]), ZNF441 (0.98, + [-,-]), ZFP28 (0.97, + [-,-]), ZNF384 (0.88, - [-,+]), ZNF182 (0.82, - [-,+]), 
CLSTN1	chr1	214566712	chr1	214603509	214604010	0.7955	ZFP64 (0.89, - [+,-]), CTCF (0.86, + [+,+]), ZNF304 (0.71, - [+,-]), 
RERE	chr1	215694960	chr1	215694611	215695112	0.9875	ETS2 (0.76, + [+,+]), DNMT1 (0.74, - [+,-]), ZSCAN30 (0.72, + [+,+]), ZNF846 (0.72, - [+,-]), ZNF182 (0.71, - [+,-]), 
DNAJC11	chr1	217810278	chr1	217808129	217808630	0.7385	ZNF770 (0.97, + [+,+]), 
DNAJC11	chr1	217810278	chr1	217902760	217903261	0.9205	KLF16 (0.90, - [-,+]), KLF13 (0.80, + [-,-]), ZNF304 (0.77, - [-,+]), SP1 (0.76, - [-,+]), ZNF180 (0.76, - [-,+]), ZNF571 (0.76, + [-,-]), ZNF394 (0.75, + [-,-]), KLF15 (0.73, - [-,+]), ZNF311 (0.72, - [-,+]), ZNF37A (0.71, - [-,+]), 
RALGAPA2	chr10	45798714	chr10	45666936	45667437	0.8655	ZNF205 (0.98, - [+,-]), ZNF202 (0.94, + [+,+]), STAT2 (0.93, + [+,+]), 
