Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
NFASC	chr1	62343872	chr1	62456546	62457047	0.7396	ZNF22 (0.95, + [+,+]), ZNF823 (0.92, - [+,-]), ZNF766 (0.70, - [+,-]), 
SYT14	chr1	67441768	chr1	67366035	67366536	0.7632	ZNF182 (0.90, - [+,-]), ZNF384 (0.86, - [+,-]), ZNF205 (0.79, + [+,+]), ZNF169 (0.76, + [+,+]), STAT2 (0.71, + [+,+]), ARID3A (0.71, + [+,+]), 
DUSP10	chr1	79410265	chr1	79652191	79652692	0.788	NFE2L1 (1.00, + [+,+]), FOS (0.99, + [+,+]), ZNF26 (0.99, - [+,-]), ZNF613 (0.93, - [+,-]), TCF12 (0.91, - [+,-]), ZNF71 (0.90, - [+,-]), ETS2 (0.81, + [+,+]), PRDM6 (0.80, + [+,+]), 
IGSF8	chr1	90837476	chr1	90843361	90843862	0.9396	ZNF467 (0.76, - [+,-]), 
LMNA	chr1	94866936	chr1	94817631	94818132	0.812	ZNF281 (1.00, - [+,-]), ZSCAN30 (1.00, - [+,-]), VEZF1 (1.00, - [+,-]), ZNF774 (0.99, + [+,+]), KLF11 (0.94, + [+,+]), MAZ (0.86, - [+,-]), PRDM9 (0.84, - [+,-]), ZNF169 (0.74, - [+,-]), 
LRIG2	chr1	111143949	chr1	111117769	111118270	0.8272	CPEB1 (0.92, + [+,+]), ARID3A (0.86, + [+,+]), 
ST7L	chr1	111590144	chr1	111511633	111512134	0.8194	KLF9 (0.96, + [+,+]), ZSCAN30 (0.96, - [+,-]), ZNF169 (0.90, - [+,-]), KLF13 (0.89, + [+,+]), ZNF281 (0.88, - [+,-]), ZNF22 (0.85, + [+,+]), VEZF1 (0.83, - [+,-]), ZNF202 (0.82, - [+,-]), KLF10 (0.73, - [+,-]), 
DPYD	chr1	126215319	chr1	126295165	126295666	0.8958	ZNF341 (1.00, + [-,-]), ZNF22 (0.99, - [-,+]), ARID3A (0.95, + [-,-]), ETS2 (0.90, - [-,+]), ZNF71 (0.84, + [-,-]), 
TGFBR3	chr1	132294678	chr1	132252888	132253389	0.9814	PRDM6 (0.94, + [+,+]), ZNF571 (0.94, + [+,+]), ZNF774 (0.89, + [+,+]), ZNF22 (0.85, + [+,+]), ZNF649 (0.81, + [+,+]), TBPL2 (0.72, - [+,-]), ZNF846 (0.70, - [+,-]), 
ST6GALNAC3	chr1	148310013	chr1	147310793	147311294	0.8284	PRDM6 (0.96, - [-,+]), BCL11A (0.93, - [-,+]), ZNF613 (0.91, - [-,+]), ZFP14 (0.83, - [-,+]), 
LRRIQ3	chr1	150218464	chr1	149921948	149922449	0.8916	PRDM6 (0.88, + [-,-]), ZNF766 (0.84, - [-,+]), 
JAK1	chr1	159469859	chr1	159569441	159569942	0.8094	ETS2 (0.97, + [+,+]), ZNF766 (0.92, + [+,+]), 
PRDX1	chr1	178900400	chr1	178908288	178908789	0.9204	ZIC2 (0.89, + [+,+]), ZSCAN30 (0.85, - [+,-]), ZNF182 (0.75, + [+,+]), 
ST3GAL3	chr1	180753685	chr1	180906820	180907321	0.7692	ZNF281 (1.00, - [+,-]), ZNF566 (1.00, + [+,+]), MAZ (1.00, - [+,-]), ZNF467 (0.99, + [+,+]), ZNF37A (0.99, + [+,+]), ZFP57 (0.97, + [+,+]), WT1 (0.96, - [+,-]), VEZF1 (0.96, - [+,-]), ZNF444 (0.94, - [+,-]), GTF2I (0.86, + [+,+]), ZNF311 (0.82, + [+,+]), 
RSRP1	chr1	199494249	chr1	199369724	199370225	0.7364	ZNF181 (0.99, - [-,+]), ZNF182 (0.99, - [-,+]), ZNF169 (0.99, + [-,-]), ZNF22 (0.86, + [-,-]), 
ENO1	chr1	215627770	chr1	215632260	215632761	0.9254	ZNF169 (0.87, - [+,-]), ZNF341 (0.84, - [+,-]), ZNF770 (0.74, + [+,+]), 
CHADL	chr10	10270672	chr10	10502946	10503447	0.9088	ZNF180 (0.91, + [-,-]), SALL2 (0.86, - [-,+]), WT1 (0.79, + [-,-]), ZFP57 (0.78, - [-,+]), ZNF281 (0.74, + [-,-]), 
EP300	chr10	10427772	chr10	10502946	10503447	0.8808	ZNF180 (0.91, - [+,-]), SALL2 (0.86, + [+,+]), WT1 (0.79, - [+,-]), ZFP57 (0.78, + [+,+]), ZNF281 (0.74, - [+,-]), 
RASSF2	chr10	61652755	chr10	61652458	61652959	1	KLF7 (0.99, - [+,-]), ZFP14 (0.94, - [+,-]), ZNF281 (0.91, + [+,+]), VEZF1 (0.80, + [+,+]), ZNF205 (0.77, + [+,+]), WT1 (0.76, + [+,+]), ZNF71 (0.75, + [+,+]), 
GAPDH	chr11	6685713	chr11	6458542	6459043	0.8946	ZNF846 (1.00, - [+,-]), ZNF22 (0.99, + [+,+]), ZNF121 (0.98, - [+,-]), ZNF527 (0.75, + [+,+]), 
TMTC1	chr11	31128462	chr11	31106224	31106725	0.884	ZNF169 (0.87, + [+,+]), 
LRIG3	chr11	58568384	chr11	58568496	58568997	0.9842	ZNF846 (0.98, - [+,-]), ZNF682 (0.92, - [+,-]), WT1 (0.92, + [+,+]), ZSCAN30 (0.80, + [+,+]), ZNF205 (0.77, + [+,+]), ZNF180 (0.76, + [+,+]), 
PPM1H	chr11	62646321	chr11	62588947	62589448	0.8392	ZNF182 (1.00, + [+,+]), ZNF22 (1.00, + [+,+]), ZNF169 (0.99, - [+,-]), ZNF613 (0.99, - [+,-]), ZNF557 (0.97, - [+,-]), ZNF384 (0.87, - [+,-]), 
CPM	chr11	68463300	chr11	68484231	68484732	0.8532	ZNF484 (1.00, + [+,+]), ZNF341 (1.00, - [+,-]), ZNF566 (0.99, + [+,+]), GTF2I (0.97, + [+,+]), ZNF774 (0.94, - [+,-]), ZNF169 (0.94, - [+,-]), ZNF846 (0.94, + [+,+]), ZNF37A (0.70, - [+,-]), 
NTN4	chr11	95594812	chr11	95559024	95559525	0.9778	ZNF557 (0.75, + [+,+]), 
ANAPC5	chr11	121191318	chr11	121104254	121104755	0.7836	KLF2 (1.00, + [-,-]), ZBTB17 (1.00, + [-,-]), KLF7 (0.99, - [-,+]), ZSCAN22 (0.98, - [-,+]), ZNF768 (0.96, - [-,+]), ZNF770 (0.91, + [-,-]), ZNF304 (0.82, + [-,-]), 
TMEM132B	chr11	125071923	chr11	125138653	125139154	0.8886	TBPL2 (1.00, - [+,-]), ZNF649 (1.00, - [+,-]), ZNF354C (0.97, - [+,-]), ZBTB17 (0.87, - [+,-]), KLF5 (0.86, - [+,-]), ZNF205 (0.77, - [+,-]), 
PKP4	chr12	45531859	chr12	45855061	45855562	0.9364	HLX (0.79, - [+,-]), 
FAM171B	chr12	73799211	chr12	73800479	73800980	0.8884	ARID3A (0.99, + [+,+]), HDX (0.97, + [+,+]), 
FAM171B	chr12	73799211	chr12	74566963	74567464	0.8618	ZNF77 (1.00, + [+,+]), ZNF169 (0.90, + [+,+]), FOS (0.87, - [+,-]), 
ZDBF2	chr12	93706234	chr12	93948462	93948963	0.7586	STAT2 (1.00, + [-,-]), ZNF169 (0.99, + [-,-]), ZNF766 (0.97, + [-,-]), ZNF846 (0.97, + [-,-]), ZNF182 (0.92, - [-,+]), ARID3A (0.90, + [-,-]), HLX (0.89, + [-,-]), 
ZDBF2	chr12	93706234	chr12	94122744	94123245	0.7024	ZFP28 (0.82, - [-,+]), 
DNER	chr12	117147053	chr12	117072407	117072908	0.8862	ZFY (0.83, + [+,+]), ZNF205 (0.77, - [+,-]), CPEB1 (0.71, + [+,+]), 
FARP2	chr12	128783306	chr12	128801710	128802211	0.724	ZNF846 (1.00, + [-,-]), KLF5 (1.00, + [-,-]), SALL4 (1.00, + [-,-]), ZNF169 (0.99, - [-,+]), ZNF180 (0.99, + [-,-]), ZNF132 (0.98, - [-,+]), KLF4 (0.97, + [-,-]), KLF11 (0.96, - [-,+]), ZNF341 (0.92, - [-,+]), BCL11A (0.89, - [-,+]), KLF13 (0.81, + [-,-]), 
